 

stn;time;breclod0;brefard0;dkl010d0;fu3010d0;fu3010d1;gre000d0;hns000d0;hto000d0;pp0qnhd0;rka150d0;sremaxdv;su2000d0;tre200d0;tre200dn;tre200dv;tre200dx;ure200d0
LUZ;20170809;0;8;259;4.7;20.2;133;0;0;1017.8;5.3;11;1.5;16.5;11.9;-2.4;20.3;81.3
LUZ;20170810;0;3;284;4.7;44.6;48;0;0;1020.6;28.5;0;0.1;12.8;11.4;-6.1;15.1;92.3
LUZ;20170811;0;2;162;2.9;16.9;48;0;0;1019.7;12.3;0;0.0;11.9;11.2;-6.9;12.8;92.2
LUZ;20170812;0;0;189;4.7;19.1;192;0;0;1022.4;1.5;28;3.7;15.2;11.5;-3.5;20.1;80.1
LUZ;20170813;0;0;323;4.3;20.5;277;0;0;1021.7;0.0;71;9.4;18.3;12.7;-0.4;24.1;73.6
LUZ;20170814;0;0;198;4.7;18.4;282;0;0;1020.2;0.0;94;12.3;20.0;13.6;1.4;26.5;75.7
LUZ;20170815;0;450;207;4.7;23.4;236;0;0;1020.7;0.7;74;9.6;21.4;15.1;2.9;28.2;70.5
LUZ;20170816;0;0;45;4.3;26.3;236;0;0;1022.1;0.0;58;7.6;21.4;16.0;2.9;26.6;74.5
LUZ;20170817;0;0;307;4.0;18.7;230;0;0;1020.4;0.0;63;8.2;22.3;16.6;3.9;27.9;74.5
LUZ;20170818;66;4488;252;5.0;67.7;232;0;0;1017.9;30.5;66;8.5;21.6;16.9;3.3;30.3;80.1
LUZ;20170819;0;125;324;5.8;23.8;130;0;0;1021.3;0.9;13;1.7;17.5;15.1;-0.7;21.3;81.2
LUZ;20170820;0;0;293;6.5;22.7;269;0;0;1024.8;0.0;76;9.7;16.8;11.9;-1.3;21.6;62.0
LUZ;20170821;0;0;315;4.0;14.0;151;0;0;1024.3;0.0;11;1.4;15.7;10.4;-2.3;19.7;72.2
LUZ;20170822;0;0;225;4.3;19.8;274;0;0;1020.5;0.0;100;12.7;18.9;12.9;1.0;24.8;72.3
LUZ;20170823;0;0;180;4.0;16.2;252;0;0;1017.9;0.0;86;11.0;21.3;15.1;3.5;28.0;72.8
LUZ;20170824;2;3857;243;6.8;72.0;190;0;0;1019.8;4.7;63;7.9;19.8;15.3;2.1;28.5;80.8
LUZ;20170825;0;31;217;4.0;14.8;241;0;0;1019.8;0.0;85;10.7;20.6;14.0;3.0;27.5;76.6
LUZ;20170826;0;1;214;4.3;15.8;221;0;0;1018.8;0.0;68;8.5;22.5;17.3;5.0;29.2;70.8
LUZ;20170827;0;11;225;4.0;22.3;128;0;0;1019.3;0.8;24;2.9;20.8;16.3;3.5;25.4;75.0
LUZ;20170828;0;0;207;4.0;17.3;216;0;0;1018.8;0.0;74;9.2;21.5;15.8;4.3;28.3;72.5
LUZ;20170829;0;0;243;4.0;14.8;252;0;0;1016.5;0.0;97;12.0;21.8;15.6;4.7;28.9;70.3
LUZ;20170830;0;474;304;4.3;46.8;213;0;0;1014.1;3.3;76;9.4;22.9;16.9;5.9;30.0;69.5
LUZ;20170831;0;4;338;5.8;33.5;28;0;0;1018.6;36.6;0;0.0;16.4;13.2;-0.4;19.9;94.3
LUZ;20170901;0;0;295;6.8;32.0;42;0;0;1019.6;26.4;0;0.0;13.0;10.9;-3.6;14.6;93.2
LUZ;20170902;1;18;243;4.0;45.0;75;0;0;1019.4;10.9;2;0.2;11.4;10.4;-5.0;14.0;87.4
LUZ;20170903;0;0;342;4.7;23.8;188;0;0;1017.8;0.0;61;7.4;13.0;9.2;-3.3;18.3;74.7
LUZ;20170904;0;0;164;4.3;20.5;155;0;0;1018.7;0.1;16;1.9;14.5;9.1;-1.6;19.4;75.8
LUZ;20170905;0;0;191;4.0;16.2;221;0;0;1021.5;0.0;68;8.2;19.2;14.1;3.2;24.6;72.3
LUZ;20170906;0;0;306;7.2;28.8;144;0;0;1020.9;0.5;25;3.0;18.5;15.3;2.6;22.5;73.0
LUZ;20170907;0;0;292;4.0;18.0;108;0;0;1019.3;0.0;2;0.3;15.4;11.9;-0.3;18.0;67.6
LUZ;20170908;0;0;270;4.0;19.4;154;0;0;1012.9;0.0;45;5.4;15.4;12.4;-0.2;19.8;72.4
LUZ;20170909;0;0;144;5.8;30.2;20;0;0;1005.1;8.2;0;0.0;12.5;10.4;-2.9;14.1;89.6
LUZ;20170910;0;0;180;4.7;22.3;122;0;0;1008.3;1.0;11;1.3;12.5;9.4;-2.8;17.9;81.0
LUZ;20170911;0;0;259;9.4;54.7;113;0;0;1007.4;0.0;28;3.3;13.3;7.9;-1.9;18.1;68.3
LUZ;20170912;0;0;255;12.2;53.6;155;0;0;1014.2;0.6;33;3.9;13.1;8.7;-1.9;16.6;64.8
LUZ;20170913;0;0;225;4.7;25.2;141;0;0;1015.3;0.1;23;2.7;14.0;6.8;-0.9;22.7;72.7
LUZ;20170914;0;0;299;9.7;65.5;79;0;0;1014.2;10.3;36;4.2;11.9;6.8;-2.9;17.8;76.7
LUZ;20170915;0;0;259;4.0;22.0;168;0;0;1015.3;0.0;63;7.4;10.7;4.7;-3.9;15.3;70.1
LUZ;20170916;0;3;304;4.0;45.7;108;0;0;1013.0;7.2;27;3.1;10.6;7.8;-3.9;16.8;80.8
LUZ;20170917;7;108;315;4.0;31.3;112;0;0;1015.0;7.0;30;3.5;9.9;7.4;-4.5;14.6;88.7
LUZ;20170918;0;0;259;4.3;22.3;114;0;0;1018.0;0.9;16;1.9;10.8;8.1;-3.4;14.5;80.0
LUZ;20170919;0;0;189;4.7;33.8;77;0;0;1020.0;7.8;1;0.2;9.7;8.6;-4.4;12.7;85.9
LUZ;20170920;0;0;196;4.7;19.1;176;0;0;1022.9;0.5;59;6.6;10.3;6.3;-3.7;15.8;82.0
LUZ;20170921;0;0;326;4.3;16.6;210;0;0;1021.2;0.0;97;10.9;10.1;4.9;-3.8;16.9;82.4
LUZ;20170922;0;0;202;3.6;16.2;196;0;0;1021.9;0.0;87;9.7;13.1;6.9;-0.6;19.8;79.1
LUZ;20170923;0;13;338;4.3;20.5;187;0;0;1022.0;0.0;84;9.3;14.6;9.3;1.0;20.4;77.7
LUZ;20170924;0;2;288;4.3;18.0;161;0;0;1021.1;0.0;69;7.7;14.7;10.6;1.2;20.3;77.0
LUZ;20170925;0;73;333;4.3;24.8;188;0;0;1019.9;3.2;83;9.1;13.7;9.0;0.4;19.4;83.1
LUZ;20170926;0;0;225;2.9;13.0;80;0;0;1022.1;1.8;25;2.7;12.7;9.2;-0.5;15.7;90.9
LUZ;20170927;0;0;207;3.2;13.7;130;0;0;1023.8;0.5;33;3.6;14.8;11.8;1.7;20.0;84.5
LUZ;20170928;0;0;243;3.6;15.5;139;0;0;1025.9;0.0;43;4.7;15.2;10.9;2.2;21.5;81.2
LUZ;20170929;0;0;194;3.2;13.7;143;0;0;1023.6;0.2;57;6.1;16.1;11.8;3.3;21.6;80.8
LUZ;20170930;0;0;333;4.3;31.7;97;0;0;1019.4;8.8;13;1.4;15.1;11.0;2.4;20.2;85.3
LUZ;20171001;0;0;307;4.0;15.1;90;0;0;1022.6;0.2;9;1.0;12.1;9.9;-0.4;15.8;86.4
LUZ;20171002;0;0;198;2.5;11.5;53;0;0;1021.8;1.0;0;0.0;13.3;9.9;0.9;16.2;87.0
LUZ;20171003;0;2;270;4.7;58.7;67;0;0;1022.0;16.0;19;2.0;13.5;10.7;1.3;15.6;89.6
LUZ;20171004;0;0;256;4.0;17.3;122;0;0;1025.9;0.0;27;2.9;11.5;7.3;-0.6;16.3;84.1
LUZ;20171005;0;0;265;7.6;52.6;177;0;0;1019.5;4.3;94;9.7;14.3;7.2;2.3;23.6;64.5
LUZ;20171006;0;0;294;6.8;34.2;97;0;0;1022.5;11.7;29;3.0;9.8;7.1;-2.0;12.7;77.8
LUZ;20171007;0;0;214;4.0;20.5;164;0;0;1023.9;0.0;81;8.3;9.5;3.8;-2.2;14.2;75.1
LUZ;20171008;0;0;243;5.0;64.1;85;0;0;1020.9;1.1;14;1.5;10.7;7.9;-0.9;13.4;80.5
LUZ;20171009;0;0;297;2.9;18.4;63;0;0;1021.5;0.2;0;0.0;11.7;8.7;0.3;14.5;84.1
LUZ;20171010;0;0;243;4.0;16.9;155;0;0;1022.1;0.0;86;8.6;11.0;5.3;-0.3;16.9;78.7
LUZ;20171011;0;0;211;4.0;15.5;163;0;0;1022.5;0.0;100;10.0;11.4;6.7;0.3;18.1;80.9
LUZ;20171012;0;0;225;4.7;19.4;147;0;0;1026.4;0.0;81;8.0;12.8;6.6;1.8;19.7;79.0
LUZ;20171013;0;0;315;4.0;16.2;157;0;0;1028.5;0.0;100;9.8;12.8;7.5;2.0;19.5;83.2
LUZ;20171014;0;0;225;3.2;13.7;157;0;0;1028.8;0.0;100;9.7;13.0;8.4;2.3;20.1;83.2
LUZ;20171015;0;0;214;3.2;11.2;157;0;0;1028.4;0.0;100;9.7;13.2;8.2;2.7;20.7;80.2
LUZ;20171016;0;0;214;3.6;15.1;155;0;0;1027.7;0.0;100;9.6;13.2;7.9;2.9;21.1;75.5
LUZ;20171017;0;0;198;3.6;16.6;157;0;0;1023.7;0.0;99;9.4;12.8;6.6;2.6;20.5;73.6
LUZ;20171018;0;0;225;4.0;17.3;145;0;0;1017.6;0.0;97;9.2;11.9;6.7;1.9;19.1;72.4
LUZ;20171019;0;0;270;4.0;18.4;131;0;0;1015.1;0.0;82;7.7;12.2;6.8;2.4;18.5;73.9
LUZ;20171020;0;0;297;3.2;14.4;89;0;0;1017.8;0.0;30;2.9;12.9;6.8;3.3;18.6;76.3
LUZ;20171021;0;15;239;5.0;34.6;87;0;0;1019.0;5.2;28;2.6;14.3;9.7;4.8;18.7;77.3
LUZ;20171022;0;0;249;11.2;56.9;86;0;0;1020.9;3.4;32;3.0;9.7;7.5;0.4;11.9;68.6
LUZ;20171023;0;0;202;5.0;41.4;41;0;0;1024.6;5.2;1;0.1;8.0;6.4;-1.1;10.4;83.0
LUZ;20171024;0;0;243;3.6;16.2;124;0;0;1027.2;0.0;77;7.1;9.9;6.8;1.0;15.4;81.8
LUZ;20171025;0;0;198;3.6;16.9;135;0;0;1026.5;0.0;95;8.7;11.3;6.1;2.6;18.3;81.7
LUZ;20171026;0;0;214;3.2;11.5;119;0;0;1026.9;0.0;86;7.8;11.4;7.0;2.9;18.3;82.4
LUZ;20171027;0;8;299;6.1;44.6;33;0;0;1027.1;1.3;3;0.2;11.1;8.1;2.8;16.5;81.3
LUZ;20171028;0;0;342;5.0;25.9;116;0;0;1026.7;0.0;64;5.7;8.2;4.5;0.1;13.4;77.3
LUZ;20171029;0;0;300;9.0;47.9;26;0;0;1018.9;4.8;0;0.0;9.7;6.3;1.8;13.7;78.3
LUZ;20171030;0;0;324;6.5;26.6;52;0;0;1024.5;0.7;11;1.0;6.2;2.5;-1.5;8.3;74.5
LUZ;20171031;0;0;315;4.3;16.9;120;0;0;1026.5;0.0;99;8.6;4.4;0.5;-3.1;9.5;79.7
LUZ;20171101;0;0;225;2.9;10.4;114;0;0;1024.4;0.0;86;7.4;5.9;1.6;-1.2;11.9;84.4
LUZ;20171102;0;0;207;3.6;14.8;101;0;0;1019.3;0.0;61;5.2;8.7;3.4;1.8;15.0;78.7
LUZ;20171103;0;0;225;3.6;13.3;116;0;0;1016.5;0.0;100;8.4;9.7;6.0;3.0;16.2;78.4
LUZ;20171104;0;0;270;3.2;15.1;103;0;0;1013.4;0.0;59;4.9;10.5;5.6;4.1;17.4;78.0
LUZ;20171105;0;0;279;6.8;37.1;9;0;0;1012.4;17.0;0;0.0;7.5;3.7;1.3;12.9;87.8
LUZ;20171106;0;0;349;7.2;28.8;15;0;0;1018.9;10.3;0;0.0;3.8;1.7;-2.3;5.2;91.7
LUZ;20171107;0;0;331;5.8;29.5;13;0;0;1016.6;0.2;0;0.0;5.4;4.7;-0.5;6.4;87.4
LUZ;20171108;0;0;333;3.2;13.0;38;0;0;1017.8;3.6;5;0.4;5.2;3.8;-0.5;7.0;88.6
LUZ;20171109;0;0;344;3.2;10.4;17;0;0;1023.2;1.0;0;0.0;5.3;4.3;-0.2;6.3;90.4
LUZ;20171110;0;0;180;4.0;23.0;38;0;0;1023.2;3.6;1;0.1;6.1;4.9;0.8;8.0;82.6
LUZ;20171111;0;0;315;6.1;35.6;22;0;0;1016.8;5.1;0;0.0;7.9;5.9;2.8;10.1;83.7
LUZ;20171112;0;103;273;12.6;88.6;37;0;0;1006.9;19.1;8;0.7;8.4;1.4;3.4;14.2;78.4
LUZ;20171113;0;0;292;5.4;27.7;24;0;0;1015.4;7.0;0;0.0;2.6;1.1;-2.2;4.4;88.3
LUZ;20171114;0;0;344;3.6;19.1;60;0;0;1024.5;0.0;25;1.9;1.7;-1.1;-3.0;5.5;87.3
LUZ;20171115;0;0;352;3.6;15.5;24;0;0;1024.7;0.0;0;0.0;1.5;-1.5;-3.0;3.0;81.4
LUZ;20171116;0;0;342;4.0;13.3;28;0;0;1023.8;0.0;0;0.0;2.2;1.4;-2.1;3.2;80.3
LUZ;20171117;0;0;349;4.3;19.1;50;0;0;1025.0;0.0;21;1.6;3.0;1.4;-1.2;4.9;82.7
LUZ;20171118;0;0;219;4.7;18.7;20;0;0;1023.6;0.0;0;0.0;3.8;0.9;-0.3;4.9;78.4
LUZ;20171119;0;0;309;4.3;32.4;37;0;0;1021.8;8.8;8;0.6;3.1;0.2;-0.8;7.5;89.2
LUZ;20171120;0;0;297;2.5;10.4;35;0;0;1023.1;0.0;0;0.0;3.1;-0.3;-0.7;5.3;86.1
LUZ;20171121;0;0;248;3.6;14.0;40;0;0;1019.9;0.0;13;0.9;5.0;0.2;1.3;9.4;82.1
LUZ;20171122;0;0;256;2.9;11.5;84;0;0;1015.5;0.0;89;6.5;4.1;0.2;0.6;11.6;80.2
LUZ;20171123;0;0;233;3.2;14.4;66;0;0;1015.6;0.0;50;3.6;4.7;-0.6;1.3;11.9;77.0
LUZ;20171124;0;0;225;3.6;21.6;72;0;0;1016.5;0.0;55;4.0;7.2;2.5;3.9;13.3;76.4
LUZ;20171125;0;0;283;8.6;51.1;14;0;0;1014.6;9.7;0;0.0;6.0;2.7;2.8;9.2;82.2
LUZ;20171126;0;0;307;4.7;34.9;29;0;0;1026.4;0.2;4;0.3;2.1;-0.6;-1.0;3.8;69.9
LUZ;20171127;0;0;191;5.0;22.3;83;0;0;1025.4;0.0;66;4.7;3.4;-0.4;0.4;7.6;62.6
LUZ;20171128;0;0;198;3.6;18.0;44;0;0;1011.6;0.6;9;0.6;3.2;-0.5;0.3;6.4;71.6
LUZ;20171129;0;0;286;4.7;35.6;21;0;0;1006.6;8.8;0;0.0;2.2;-0.4;-0.6;4.0;91.2
LUZ;20171130;0;0;180;4.7;23.0;26;0;0;1007.8;0.0;0;0.0;0.7;-1.4;-2.0;2.5;80.4
LUZ;20171201;0;0;315;5.8;34.2;35;0;0;1011.6;0.4;10;0.7;0.2;-1.0;-2.3;1.6;78.5
LUZ;20171202;0;0;13;11.5;38.9;43;0;0;1019.6;0.0;27;1.9;0.6;-0.2;-1.9;1.9;67.1
LUZ;20171203;0;0;315;4.0;17.3;39;0;0;1025.8;0.0;16;1.1;-0.2;-1.0;-2.6;0.9;69.5
LUZ;20171204;0;0;288;2.2;12.2;21;0;0;1032.7;1.8;0;0.0;1.1;-0.9;-1.2;2.5;90.0
LUZ;20171205;0;0;337;4.0;18.0;57;0;0;1036.8;0.0;47;3.2;1.8;-0.9;-0.4;5.2;91.0
LUZ;20171206;0;0;360;3.2;10.8;17;0;0;1034.0;0.0;0;0.0;0.7;-0.6;-1.5;1.8;90.2
LUZ;20171207;0;0;207;3.6;11.9;25;0;0;1025.1;0.0;0;0.0;-0.7;-1.8;-2.8;0.5;92.7
LUZ;20171208;0;0;251;11.2;77.0;14;0;0;1015.2;9.2;0;0.0;2.3;-0.2;0.3;5.5;80.4
LUZ;20171209;0;0;274;7.6;55.4;41;0;0;1017.9;1.7;18;1.2;-1.2;-6.0;-3.2;1.4;73.9
LUZ;20171210;0;0;236;4.3;21.2;10;0;0;999.5;16.3;0;0.0;-1.4;-5.9;-3.3;3.1;84.4
LUZ;20171211;0;0;8;6.1;27.7;16;0;0;987.2;2.9;0;0.0;3.6;1.3;1.8;6.1;92.6
LUZ;20171212;0;0;297;7.2;60.5;16;0;0;1010.8;1.0;0;0.0;2.3;-1.4;0.5;5.4;85.7
LUZ;20171213;0;0;288;3.6;16.6;59;0;0;1013.6;0.1;63;4.1;0.1;-3.5;-1.6;3.3;79.8
LUZ;20171214;0;0;252;13.3;100.1;7;0;0;1002.8;34.5;0;0.0;4.4;0.8;2.7;11.9;83.4
LUZ;20171215;0;0;214;6.8;53.6;65;0;0;1000.9;10.6;77;5.0;2.9;0.3;1.3;5.9;79.4
LUZ;20171216;0;0;180;3.6;23.0;15;15;0;1011.6;6.3;0;0.0;1.2;0.0;-0.3;3.1;89.5
LUZ;20171217;0;0;277;4.0;23.8;23;0;15;1024.6;0.2;0;0.0;0.4;-2.9;-1.1;1.9;81.5
LUZ;20171218;0;0;243;2.5;12.2;18;0;10;1024.5;4.8;0;0.0;-0.5;-2.7;-1.9;0.8;89.6
LUZ;20171219;0;0;333;2.5;9.7;29;0;8;1032.6;0.0;0;0.0;1.3;-0.5;-0.1;2.6;90.1
LUZ;20171220;0;0;0;2.9;11.9;29;0;3;1034.2;0.3;0;0.0;1.7;0.1;0.4;2.7;86.9
LUZ;20171221;0;0;297;2.9;19.1;54;0;0;1037.0;4.0;43;2.8;3.0;0.8;1.7;5.3;85.4
LUZ;20171222;0;0;243;2.5;12.6;18;0;0;1035.8;5.5;0;0.0;4.2;1.9;3.0;5.6;94.8
LUZ;20171223;0;0;225;3.2;16.2;18;0;0;1036.3;0.2;0;0.0;4.7;2.7;3.5;5.6;90.7
LUZ;20171224;0;0;301;3.2;15.1;18;0;0;1031.7;0.0;0;0.0;1.1;-0.7;0.0;3.0;90.7
LUZ;20171225;0;0;256;2.9;14.4;21;0;0;1022.3;0.0;0;0.0;-1.0;-1.8;-2.1;0.4;96.1
LUZ;20171226;0;0;247;4.7;53.3;27;0;0;1010.2;0.0;17;1.1;0.6;-2.1;-0.4;6.3;91.9
LUZ;20171227;0;0;248;7.9;58.3;14;0;0;991.6;3.1;0;0.0;2.2;-1.0;1.2;4.2;83.2
LUZ;20171228;0;0;255;13.3;61.2;29;0;0;1003.1;0.1;0;0.0;1.6;-1.6;0.6;4.0;61.5
LUZ;20171229;0;2;225;4.7;25.9;54;0;0;1011.6;3.2;59;3.8;-0.1;-3.6;-1.0;3.1;64.1
LUZ;20171230;0;0;207;8.3;82.8;21;0;0;1012.8;1.7;0;0.0;5.8;1.2;4.9;13.5;81.9
LUZ;20171231;0;0;203;6.5;41.8;72;0;0;1014.5;0.0;100;6.5;6.9;1.5;6.1;12.9;75.3

stn;time;breclod0;brefard0;dkl010d0;fu3010d0;fu3010d1;gre000d0;hns000d0;hto000d0;pp0qnhd0;rka150d0;sremaxdv;su2000d0;tre200d0;tre200dn;tre200dv;tre200dx;ure200d0
SMA;20170101;0;0;216;3.2;11.5;49;0;0;1022.7;0.0;49;3.7;-2.9;-4.4;-3.5;0.3;94.3
SMA;20170102;0;0;270;4.0;24.1;40;5;0;1021.8;4.7;13;1.0;-1.9;-4.3;-2.4;0.6;94.4
SMA;20170103;0;0;360;2.5;13.3;30;0;5;1025.7;0.0;0;0.0;-3.1;-4.9;-3.6;-1.3;94.8
SMA;20170104;0;0;245;13.3;54.0;10;1;4;1019.9;1.7;0;0.0;-0.8;-3.6;-1.3;0.9;83.4
SMA;20170105;0;0;337;5.8;28.4;23;4;4;1025.4;4.2;6;0.5;-3.1;-8.2;-3.5;-0.3;86.0
SMA;20170106;0;0;48;10.4;29.9;73;0;8;1034.7;0.0;91;7.0;-7.9;-11.3;-8.3;-5.3;82.3
SMA;20170107;0;0;56;5.4;22.3;40;1;7;1032.1;0.1;8;0.6;-8.1;-12.7;-8.5;-3.9;86.5
SMA;20170108;0;0;315;2.5;9.7;28;1;8;1029.0;4.0;0;0.0;-2.3;-4.7;-2.7;-0.7;93.0
SMA;20170109;0;0;225;4.7;27.4;22;0;7;1025.2;0.0;0;0.0;-1.7;-2.9;-2.0;-0.7;85.2
SMA;20170110;0;0;197;5.0;20.2;19;3;6;1011.7;6.0;0;0.0;-1.5;-2.8;-1.8;0.2;90.9
SMA;20170111;0;0;235;17.6;82.8;39;0;9;1015.0;3.1;4;0.3;1.4;-0.3;1.1;4.2;83.2
SMA;20170112;0;0;243;13.0;58.0;23;0;4;1011.9;3.4;0;0.0;3.8;2.9;3.5;5.2;88.3
SMA;20170113;0;0;246;18.0;69.5;31;4;1;1005.6;5.6;14;1.1;0.2;-2.2;-0.1;4.8;81.4
SMA;20170114;0;0;247;14.0;36.7;14;2;5;1013.6;2.5;0;0.0;-1.1;-3.0;-1.4;0.0;86.7
SMA;20170115;0;0;241;7.6;26.3;35;0;6;1020.0;0.3;3;0.2;-2.2;-3.1;-2.4;-0.7;83.8
SMA;20170116;0;0;32;5.4;23.4;61;2;6;1020.9;2.0;21;1.7;-4.1;-6.2;-4.3;-1.8;85.5
SMA;20170117;0;0;47;13.0;54.0;21;0;7;1025.4;0.2;0;0.0;-5.1;-5.8;-5.3;-4.5;79.0
SMA;20170118;0;0;52;11.2;48.2;18;0;7;1027.8;0.0;0;0.0;-5.2;-6.1;-5.4;-4.4;74.9
SMA;20170119;0;0;60;7.9;32.8;21;0;6;1029.3;0.0;0;0.0;-5.7;-6.2;-5.9;-5.0;79.2
SMA;20170120;0;0;55;5.8;16.9;23;0;4;1029.3;0.0;0;0.0;-6.3;-7.1;-6.5;-5.5;85.9
SMA;20170121;0;0;58;5.0;16.2;30;0;4;1027.3;0.0;0;0.0;-6.4;-7.6;-6.6;-4.8;92.7
SMA;20170122;0;0;59;3.6;12.2;39;0;4;1023.5;0.0;0;0.0;-6.6;-7.9;-6.8;-4.9;92.7
SMA;20170123;0;0;56;3.2;18.0;37;0;4;1022.2;0.0;0;0.0;-6.3;-8.3;-6.5;-4.4;92.9
SMA;20170124;0;0;58;5.0;25.6;15;0;4;1023.8;0.0;0;0.0;-6.6;-8.0;-6.8;-5.6;88.9
SMA;20170125;0;0;47;7.9;29.2;17;0;4;1024.8;0.0;0;0.0;-7.7;-8.2;-7.9;-7.2;84.3
SMA;20170126;0;0;69;5.4;19.8;30;0;4;1022.7;0.0;0;0.0;-7.1;-8.0;-7.3;-5.9;85.6
SMA;20170127;0;0;56;3.2;17.3;90;0;4;1019.5;0.0;74;6.1;-3.4;-7.3;-3.6;1.2;83.7
SMA;20170128;0;0;45;2.5;14.4;94;0;3;1019.1;0.0;75;6.2;0.0;-3.6;-0.2;6.1;78.8
SMA;20170129;0;0;214;2.2;10.4;100;0;3;1022.3;0.0;99;8.2;1.6;-2.0;1.4;7.5;75.9
SMA;20170130;0;0;201;5.4;38.2;21;0;3;1018.0;3.5;0;0.0;2.4;-0.8;2.2;5.4;82.1
SMA;20170131;0;0;211;7.9;38.5;5;0;1;1016.0;38.5;0;0.0;5.3;4.0;5.0;6.5;95.2
SMA;20170201;0;0;180;2.2;13.7;41;0;0;1016.3;13.4;13;1.1;5.2;3.4;4.9;7.8;96.9
SMA;20170202;0;0;27;4.0;19.4;91;0;0;1012.0;0.0;56;4.9;3.7;1.1;3.4;6.1;95.7
SMA;20170203;0;0;234;6.8;58.7;73;0;0;1008.6;0.4;44;3.8;5.3;2.0;5.0;8.8;85.2
SMA;20170204;0;0;234;14.0;109.8;43;0;0;1004.6;0.1;13;1.2;4.2;1.2;3.8;6.9;77.5
SMA;20170205;0;0;135;4.3;27.4;23;1;0;1003.6;8.6;0;0.0;2.1;-0.2;1.7;4.7;79.4
SMA;20170206;0;0;219;3.2;13.3;65;0;1;1014.2;2.9;25;2.2;1.6;-0.2;1.1;4.6;94.3
SMA;20170207;0;0;180;3.6;14.4;51;0;0;1016.6;4.2;1;0.1;1.6;-0.6;1.1;4.2;90.9
SMA;20170208;0;0;36;6.5;32.4;14;0;0;1018.4;3.4;0;0.0;1.5;0.1;0.9;2.8;93.3
SMA;20170209;0;0;40;10.8;30.6;29;0;0;1019.8;0.0;0;0.0;-0.9;-2.2;-1.5;0.0;81.8
SMA;20170210;0;0;45;5.4;16.2;52;0;0;1018.1;0.0;1;0.1;-0.1;-2.1;-0.8;2.4;84.5
SMA;20170211;0;0;61;5.4;20.9;76;0;0;1018.9;0.0;41;3.8;0.3;-1.4;-0.5;4.5;89.4
SMA;20170212;0;0;47;11.9;46.4;91;0;0;1022.2;0.0;55;5.1;0.4;-1.5;-0.4;3.8;89.3
SMA;20170213;0;0;50;11.9;39.2;52;0;0;1023.9;0.0;2;0.2;-0.1;-1.9;-1.0;1.2;86.0
SMA;20170214;0;0;49;4.3;15.8;113;0;0;1028.8;0.0;67;6.2;1.1;-1.7;0.1;5.9;84.0
SMA;20170215;0;0;214;2.2;11.5;134;0;0;1034.3;0.0;100;9.3;4.1;-1.7;3.0;11.3;76.3
SMA;20170216;0;0;217;2.9;14.8;134;0;0;1031.6;0.0;98;9.2;6.3;0.9;5.1;12.7;64.3
SMA;20170217;0;0;211;4.3;27.4;17;0;0;1027.1;10.1;0;0.0;4.6;0.9;3.3;7.7;87.4
SMA;20170218;0;0;45;5.0;29.9;99;0;0;1025.3;0.0;49;4.7;2.6;-0.4;1.2;7.8;88.0
SMA;20170219;0;0;241;4.3;26.6;126;0;0;1024.4;0.0;55;5.2;3.3;-1.7;1.8;8.4;79.4
SMA;20170220;0;0;233;8.6;36.4;108;0;0;1023.7;1.5;33;3.2;6.7;3.3;5.1;10.6;69.0
SMA;20170221;0;0;237;13.0;46.8;34;0;0;1021.1;1.3;0;0.0;8.4;5.8;6.6;10.8;83.0
SMA;20170222;0;0;254;13.0;51.8;93;0;0;1017.7;0.0;20;1.9;8.9;5.1;7.0;13.8;73.5
SMA;20170223;0;0;246;18.4;99.0;144;0;0;1008.8;0.0;84;8.4;10.5;2.6;8.5;18.8;55.4
SMA;20170224;0;0;265;14.0;71.6;71;0;0;1013.9;0.0;14;1.4;4.6;0.4;2.4;9.9;66.8
SMA;20170225;0;0;58;5.4;23.8;111;0;0;1020.8;0.0;49;4.9;2.0;-1.5;-0.3;7.2;80.4
SMA;20170226;0;0;220;3.6;23.8;120;0;0;1017.8;0.0;50;5.0;5.4;0.8;2.9;11.4;66.2
SMA;20170227;0;1;207;4.3;27.4;146;2;0;1007.8;0.0;87;8.7;7.8;2.0;5.2;14.5;55.4
SMA;20170228;0;1;238;15.5;87.1;59;0;2;1000.6;15.9;6;0.6;3.7;0.0;0.9;9.8;80.9
SMA;20170301;0;0;230;22.7;64.8;69;0;0;1009.7;4.9;10;1.0;4.7;1.8;1.4;7.1;74.1
SMA;20170302;0;0;245;16.9;70.6;117;0;0;1016.0;4.1;43;4.4;6.7;1.6;3.3;10.3;67.2
SMA;20170303;0;0;39;4.0;18.4;135;0;0;1009.8;0.0;59;6.0;5.9;0.1;2.3;12.6;67.8
SMA;20170304;0;3;209;15.1;77.4;117;0;0;996.9;2.8;35;3.6;9.0;3.8;5.2;18.5;57.0
SMA;20170305;0;0;237;18.4;69.5;120;0;0;1005.9;5.7;32;3.4;5.6;1.4;1.7;9.8;72.1
SMA;20170306;0;21;236;12.6;56.5;48;0;0;1005.4;13.2;1;0.1;3.9;0.5;-0.2;6.1;86.7
SMA;20170307;0;0;240;11.5;41.8;56;0;0;1016.7;4.3;3;0.3;3.2;1.0;-1.0;5.3;86.0
SMA;20170308;0;0;213;6.5;33.5;88;0;0;1023.2;4.7;26;2.8;3.7;0.2;-0.7;6.7;86.7
